cancer_type,category,gene,mean_log2tpm,std_log2tpm,pct_expressed
KIRC,targets,CD274,2.5573140066211413,0.7314729369299939,96.90721649484536
KIRC,targets,PDCD1LG2,2.8358426348165304,0.8587705119010914,96.90721649484536
KIRC,targets,PDCD1,2.620833724739427,1.5150034288326644,84.5360824742268
KIRC,targets,CTLA4,1.6040325711128212,0.9782864381473554,69.0721649484536
KIRC,targets,LAG3,2.965619205087237,1.6117183284725691,92.78350515463917
KIRC,targets,HAVCR2,5.807452635834587,1.4517600796799224,100.0
KIRC,targets,TIGIT,2.047000803204594,1.0407502082689655,83.50515463917526
KIRC,targets,VSIR,5.661499384493514,0.8469824019542344,100.0
KIRC,costimulatory,CD28,1.9987897938570685,0.8328946853187212,84.5360824742268
KIRC,costimulatory,ICOS,1.5509654804572468,0.9208548787053956,70.10309278350515
KIRC,costimulatory,CD40,6.094236321371998,0.7714401791378617,100.0
KIRC,costimulatory,CD40LG,1.9149413240237168,0.7973292077751919,86.5979381443299
KIRC,costimulatory,TNFRSF4,3.9264035533495107,1.050466566734938,98.96907216494846
KIRC,costimulatory,TNFRSF9,2.0980301420123846,1.3969990399167744,75.25773195876289
KIRC,costimulatory,CD27,3.2611388544502735,1.5520383307810863,91.75257731958763
