cancer_type,cell_type,hazard_ratio,p_value,ci_lower,ci_upper,significant,direction
KIRC,CD8_T_cells,1.0040968376386012,0.9846280336315502,0.6624468388427962,1.5219492346239363,False,risk
KIRC,CD4_T_cells,0.7419813472557534,0.20387222519661108,0.4682385303409728,1.1757603956140914,False,protective
KIRC,T_regulatory,1.0218699782932024,0.9332853049801965,0.615763878999339,1.69580952723937,False,risk
KIRC,NK_cells,0.8404241383939347,0.5213348003679369,0.4940197418550488,1.4297257225854507,False,protective
KIRC,B_cells,0.7703694075796244,0.30424444342474877,0.4683279108824661,1.267208317813715,False,protective
KIRC,Macrophages_M1,0.5840057319834859,0.12755517968263566,0.29240010325494314,1.1664246735651636,False,protective
KIRC,Macrophages_M2,0.6485497994354744,0.10983426146129308,0.3814391017823299,1.1027103419193274,False,protective
KIRC,Dendritic_cells,0.6861781788634747,0.16647882546638224,0.4024757940666776,1.1698603992825247,False,protective
KIRC,Neutrophils,0.889816652146948,0.6729124642293469,0.5175051234351313,1.5299822911555205,False,protective
KIRC,Mast_cells,0.6245044672146437,0.06582400573037922,0.378177343143398,1.0312776178745402,False,protective
KIRC,Exhaustion,0.9898925019147483,0.9666562249179818,0.614790076667587,1.5938565089703924,False,protective
KIRC,IFN_gamma,0.7554225790414572,0.23855970513779304,0.4738314184069542,1.2043592947978126,False,protective
